id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V03Q1_9,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q1_6,10.9013,-9.2012,A,1,0,0,0,e0a0,a
V03Q1_6,10.9028,-9.2012,T,0,0,0,0,e0a0,0
V03Q1_10,10.898,-9.1005,T,2,0.163,0,8,e8a0,0
V03Q1_11,10.8923,-9.0964,T,2,0.3662,0,11,e7a4,0
V03Q1_14,10.881,-9.1951,T,2,0.179,0.0001,10,e9a1,0
V03Q1_17,10.8742,-9.1246,T,1,0,0,0,e0a0,0
V03Q1_13,10.8634,-9.1478,T,2,0.0974,0,5,e5a0,0
V03Q1_12,10.8592,-9.1382,T,2,0.4825,0,13,e6a7,0
V03Q1_16,10.8507,-9.1053,T,1,0,0,0,e0a0,0
V03Q1_4,10.848,-9.1368,T,2,0.0505,0,9,e9a0,0
V03Q1_18,10.8417,-9.1749,T,2,0.4464,0,6,e3a3,0
V03Q1_8,10.8379,-9.1843,T,2,0.0778,0,6,e5a1,0
V03Q1_3,10.8348,-9.1448,T,2,0.05,0.0002,5,e5a0,0
V03Q1_1,10.8314,-9.1536,T,2,0.0504,0,0,e0a0,0
V03Q1_15,10.8231,-9.0925,T,2,0.2523,0,9,e9a0,0
V03Q1_2,10.8195,-9.1256,T,2,0.0503,0,7,e7a0,0
V03Q2_14,10.7708,-9.1932,T,2,0.0603,0,10,e10a0,0
V03Q2_14,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q2_16,10.7648,-9.1011,T,2,0.2017,0,12,e11a1,0
V03Q2_15,10.7575,-9.1252,T,2,0.3314,0,12,e11a1,0
V03Q2_10,10.7542,-9.1658,T,2,0.6565,0,6,e4a2,0
V03Q2_11,10.751,-9.1333,T,2,0.1784,0,4,e0a4,0
V03Q2_9,10.7429,-9.144,A,3,0.4393,0,5,e2a3,a
V03Q2_9,10.7483,-9.144,T,0,0,0,0,e0a0,0
V03Q2_12,10.7405,-9.1625,T,2,0.6513,0,7,e4a3,0
V03Q2_17,10.737,-9.1309,T,2,0.1783,0,11,e9a2,0
V03Q2_8,10.7275,-9.1204,T,2,0.1778,0,6,e5a1,0
V03Q2_1,10.7239,-9.1111,T,2,0.2018,0,9,e7a2,0
V03Q2_1,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q2_19,10.7117,-9.1484,T,2,0.168,0.0002,4,e1a3,0
V03Q2_13,10.7036,-9.1839,T,3,0.2581,0,2,e2a0,0
V03Q2_21,10.6984,-9.1613,T,3,0.0468,0,0,e0a0,0
V03Q2_2,10.693,-9.1404,A,3,0.0832,0,1,e1a0,0
